0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
HK.00552,HK.00763,HK.00788,HK.01613,HK.02342,HK.02369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00836,HK.00902,HK.00991,HK.01071,HK.02380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00302,HK.00434,HK.00700,HK.00777,HK.00797,HK.00799,HK.00800,HK.01022,HK.01119,HK.01909,HK.01961,HK.01980,HK.02022,HK.02100,HK.02400,HK.02660,HK.03798,HK.03888,HK.06820,HK.06860,HK.06899,HK.08148,HK.08267,HK.08282,HK.09626,HK.09999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.01086,HK.01247,HK.01259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00162,HK.00312,HK.00825,HK.00848,HK.03308,HK.03368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00004,HK.00014,HK.00019,HK.00041,HK.01972,HK.01997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00144,HK.00598,HK.01138,HK.01199,HK.01919,HK.02343,HK.02866,HK.02880,HK.03369,HK.03378,HK.03382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00008,HK.00215,HK.00315,HK.00728,HK.00762,HK.00941,HK.01310,HK.06823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00154,HK.00257,HK.00895,HK.00967,HK.00976,HK.01065,HK.01191,HK.01330,HK.01363,HK.01845,HK.02265,HK.03989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00639,HK.00975,HK.01088,HK.01171,HK.01733,HK.01878,HK.01898,HK.02798,HK.03668,HK.03948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00175,HK.00305,HK.00489,HK.00708,HK.01114,HK.01122,HK.01211,HK.01958,HK.02015,HK.02238,HK.02333,HK.09866,HK.09868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00285,HK.00729,HK.00819,HK.00842,HK.00951,HK.01043,HK.01211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00598,HK.00636,HK.01308,HK.01396,HK.01668,HK.01803,HK.02057,HK.02130,HK.02618,HK.03399,HK.08310,HK.08348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00873,HK.01153,HK.01209,HK.01417,HK.01516,HK.01538,HK.01755,HK.01778,HK.01895,HK.01922,HK.01941,HK.01965,HK.01995,HK.02107,HK.02146,HK.02156,HK.02165,HK.02168,HK.02205,HK.02207,HK.02215,HK.02669,HK.02869,HK.03316,HK.03319,HK.03658,HK.03662,HK.03913,HK.06049,HK.06093,HK.06098,HK.06626,HK.06666,HK.06668,HK.06677,HK.06958,HK.06989,HK.09608,HK.09666,HK.09909,HK.09916,HK.09928,HK.09983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00038,HK.00073,HK.00288,HK.00297,HK.00509,HK.00904,HK.01866,HK.03983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.01787,HK.01818,HK.02099,HK.02899,HK.03330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00084,HK.00113,HK.00116,HK.00256,HK.00280,HK.00398,HK.00417,HK.00590,HK.00887,HK.01856,HK.01913,HK.01929,HK.03389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00042,HK.00658,HK.01072,HK.01133,HK.02208,HK.02727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00052,HK.00341,HK.00538,HK.01314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00631,HK.01157,HK.02155,HK.03339,HK.03808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00151,HK.00220,HK.00322,HK.00345,HK.00359,HK.00506,HK.01068,HK.01262,HK.01458,HK.01583,HK.01610,HK.03799,HK.06183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
